maintenance_id,event_id,equipment_id,opened_at,closed_at,intervention_type,outcome,downtime_minutes,labor_hours,parts_cost_eur,parts_replaced_count,work_order_note,period,source_system
MNT-2026S1-B0116,EVT-2026S1-B036,EQ-M2X-012,2026-05-27T10:30:00Z,2026-05-27T14:28:00Z,calibration,follow_up_required,238,5.42,308.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0117,EVT-2026S1-B037,EQ-M2X-013,2026-05-27T15:30:00Z,2026-05-27T19:51:00Z,preventive,resolved,261,5.79,339.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0118,EVT-2026S1-B038,EQ-M2X-014,2026-05-27T20:30:00Z,2026-05-28T01:14:00Z,corrective,monitoring,284,6.16,371.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0119,EVT-2026S1-B039,EQ-M2X-015,2026-05-28T01:30:00Z,2026-05-28T06:37:00Z,inspection,parts_ordered,307,6.53,403.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0120,EVT-2026S1-B040,EQ-M2X-016,2026-05-28T06:30:00Z,2026-05-28T12:00:00Z,calibration,follow_up_required,330,6.9,435.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0121,EVT-2026S1-B041,EQ-M2X-017,2026-05-28T11:30:00Z,2026-05-28T17:23:00Z,preventive,resolved,353,7.27,466.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0122,EVT-2026S1-B042,EQ-M2X-018,2026-05-28T16:30:00Z,2026-05-28T22:46:00Z,corrective,monitoring,376,7.64,498.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0123,EVT-2026S1-B043,EQ-M2X-019,2026-05-28T21:30:00Z,2026-05-29T04:09:00Z,inspection,parts_ordered,399,8.01,530.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0124,EVT-2026S1-B044,EQ-M2X-020,2026-05-29T02:30:00Z,2026-05-29T09:32:00Z,calibration,follow_up_required,422,8.38,562.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0125,EVT-2026S1-B045,EQ-M2X-021,2026-05-29T07:30:00Z,2026-05-29T08:05:00Z,preventive,resolved,35,8.75,593.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0126,EVT-2026S1-B046,EQ-M2X-022,2026-05-29T12:30:00Z,2026-05-29T13:28:00Z,corrective,monitoring,58,9.12,625.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0127,EVT-2026S1-B047,EQ-M2X-023,2026-05-29T17:30:00Z,2026-05-29T18:51:00Z,inspection,parts_ordered,81,9.49,657.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0128,EVT-2026S1-B048,EQ-M2X-024,2026-05-29T22:30:00Z,2026-05-30T00:14:00Z,calibration,follow_up_required,104,9.86,689.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0129,EVT-2026S1-B049,EQ-M2X-001,2026-05-30T03:30:00Z,2026-05-30T05:37:00Z,preventive,resolved,127,0.73,720.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0130,EVT-2026S1-B050,EQ-M2X-002,2026-05-30T08:30:00Z,2026-05-30T11:00:00Z,corrective,monitoring,150,1.1,752.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0131,EVT-2026S1-B051,EQ-M2X-003,2026-05-30T13:30:00Z,2026-05-30T16:23:00Z,inspection,parts_ordered,173,1.47,784.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0132,EVT-2026S1-B052,EQ-M2X-004,2026-05-30T18:30:00Z,2026-05-30T21:46:00Z,calibration,follow_up_required,196,1.84,816.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0133,EVT-2026S1-B053,EQ-M2X-005,2026-05-30T23:30:00Z,2026-05-31T03:09:00Z,preventive,resolved,219,2.21,847.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0134,EVT-2026S1-B054,EQ-M2X-006,2026-05-31T04:30:00Z,2026-05-31T08:32:00Z,corrective,monitoring,242,2.58,29.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0135,EVT-2026S1-B055,EQ-M2X-007,2026-05-31T09:30:00Z,2026-05-31T13:55:00Z,inspection,parts_ordered,265,2.95,61.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0136,EVT-2026S1-B056,EQ-M2X-008,2026-05-31T14:30:00Z,2026-05-31T19:18:00Z,calibration,follow_up_required,288,3.32,93.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0137,EVT-2026S1-B057,EQ-M2X-009,2026-05-31T19:30:00Z,2026-06-01T00:41:00Z,preventive,resolved,311,3.69,124.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0138,EVT-2026S1-B058,EQ-M2X-010,2026-06-01T00:30:00Z,2026-06-01T06:04:00Z,corrective,monitoring,334,4.06,156.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0139,EVT-2026S1-B059,EQ-M2X-011,2026-06-01T05:30:00Z,2026-06-01T11:27:00Z,inspection,parts_ordered,357,4.43,188.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0140,EVT-2026S1-B060,EQ-M2X-012,2026-06-01T10:30:00Z,2026-06-01T16:50:00Z,calibration,follow_up_required,380,4.8,220.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0141,EVT-2026S1-B061,EQ-M2X-013,2026-06-01T15:30:00Z,2026-06-01T22:13:00Z,preventive,resolved,403,5.17,251.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0142,EVT-2026S1-B062,EQ-M2X-014,2026-06-01T20:30:00Z,2026-06-02T03:36:00Z,corrective,monitoring,426,5.54,283.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0143,EVT-2026S1-B063,EQ-M2X-015,2026-06-02T01:30:00Z,2026-06-02T02:09:00Z,inspection,parts_ordered,39,5.91,315.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0144,EVT-2026S1-B064,EQ-M2X-016,2026-06-02T06:30:00Z,2026-06-02T07:32:00Z,calibration,follow_up_required,62,6.28,347.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0145,EVT-2026S1-B065,EQ-M2X-017,2026-06-02T11:30:00Z,2026-06-02T12:55:00Z,preventive,resolved,85,6.65,378.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0146,EVT-2026S1-B066,EQ-M2X-018,2026-06-02T16:30:00Z,2026-06-02T18:18:00Z,corrective,monitoring,108,7.02,410.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0147,EVT-2026S1-B067,EQ-M2X-019,2026-06-02T21:30:00Z,2026-06-02T23:41:00Z,inspection,parts_ordered,131,7.39,442.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0148,EVT-2026S1-B068,EQ-M2X-020,2026-06-03T02:30:00Z,2026-06-03T05:04:00Z,calibration,follow_up_required,154,7.76,474.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0149,EVT-2026S1-B069,EQ-M2X-021,2026-06-03T07:30:00Z,2026-06-03T10:27:00Z,preventive,resolved,177,8.13,505.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0150,EVT-2026S1-B070,EQ-M2X-022,2026-06-03T12:30:00Z,2026-06-03T15:50:00Z,corrective,monitoring,200,8.5,537.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0151,EVT-2026S1-B071,EQ-M2X-023,2026-06-03T17:30:00Z,2026-06-03T21:13:00Z,inspection,parts_ordered,223,8.87,569.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0152,EVT-2026S1-B072,EQ-M2X-024,2026-06-03T22:30:00Z,2026-06-04T02:36:00Z,calibration,follow_up_required,246,9.24,601.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0153,EVT-2026S1-B073,EQ-M2X-001,2026-06-04T03:30:00Z,2026-06-04T07:59:00Z,preventive,resolved,269,9.61,632.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0154,EVT-2026S1-B074,EQ-M2X-002,2026-06-04T08:30:00Z,2026-06-04T13:22:00Z,corrective,monitoring,292,9.98,664.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0155,EVT-2026S1-B075,EQ-M2X-003,2026-06-04T13:30:00Z,2026-06-04T18:45:00Z,inspection,parts_ordered,315,0.85,696.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0156,EVT-2026S1-B076,EQ-M2X-004,2026-06-04T18:30:00Z,2026-06-05T00:08:00Z,calibration,follow_up_required,338,1.22,728.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0157,EVT-2026S1-B077,EQ-M2X-005,2026-06-04T23:30:00Z,2026-06-05T05:31:00Z,preventive,resolved,361,1.59,759.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0158,EVT-2026S1-B078,EQ-M2X-006,2026-06-05T04:30:00Z,2026-06-05T10:54:00Z,corrective,monitoring,384,1.96,791.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0159,EVT-2026S1-B079,EQ-M2X-007,2026-06-05T09:30:00Z,2026-06-05T16:17:00Z,inspection,parts_ordered,407,2.33,823.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0160,EVT-2026S1-B080,EQ-M2X-008,2026-06-05T14:30:00Z,2026-06-05T21:40:00Z,calibration,follow_up_required,430,2.7,855.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0161,EVT-2026S1-0001,EQ-M2X-001,2026-06-05T19:30:00Z,2026-06-05T20:13:00Z,preventive,resolved,43,3.07,36.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0162,EVT-2026S1-B002,EQ-M2X-002,2026-06-06T00:30:00Z,2026-06-06T01:36:00Z,corrective,monitoring,66,3.44,68.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0163,EVT-2026S1-B002,EQ-M2X-003,2026-06-06T05:30:00Z,2026-06-06T06:59:00Z,inspection,parts_ordered,89,3.81,100.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0164,EVT-2026S1-B004,EQ-UNKNOWN-999,2026-06-06T10:30:00Z,2026-06-06T12:22:00Z,calibration,follow_up_required,112,4.18,132.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0165,EVT-2026S1-B005,EQ-M2X-005,2026-06-06T15:30:00Z,2026-06-06T17:45:00Z,preventive,resolved,135,4.55,163.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0166,EVT-2026S1-B006,EQ-M2X-006,2026-06-06T20:30:00Z,2026-06-06T23:08:00Z,corrective,monitoring,158,4.92,195.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0167,EVT-2026S1-B007,EQ-M2X-007,2026-06-07T01:30:00Z,2026-06-07T04:31:00Z,inspection,parts_ordered,181,5.29,227.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0168,EVT-2026S1-B008,EQ-M2X-008,2026-06-07T06:30:00Z,2026-06-07T09:54:00Z,calibration,follow_up_required,204,5.66,259.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0169,EVT-2026S1-B009,EQ-M2X-009,2026-06-07T11:30:00Z,2026-06-07T15:17:00Z,preventive,resolved,227,6.03,290.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0170,EVT-2026S1-B010,EQ-M2X-010,2026-06-07T16:30:00Z,2026-06-07T20:40:00Z,corrective,monitoring,250,6.4,322.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0171,EVT-2026S1-B011,EQ-M2X-011,2026-06-07T21:30:00Z,2026-06-08T02:03:00Z,inspection,parts_ordered,273,6.77,354.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0172,EVT-2026S1-B012,EQ-M2X-012,2026-06-08T02:30:00Z,2026-06-08T07:26:00Z,calibration,follow_up_required,296,7.14,386.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0173,EVT-2026S1-B013,EQ-M2X-013,2026-06-08T07:30:00Z,2026-06-08T12:49:00Z,preventive,resolved,319,7.51,417.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0174,EVT-2026S1-B014,EQ-M2X-014,2026-06-08T12:30:00Z,2026-06-08T18:12:00Z,corrective,monitoring,342,7.88,449.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0175,EVT-2026S1-B015,EQ-M2X-015,2026-06-08T17:30:00Z,2026-06-08T23:35:00Z,inspection,parts_ordered,365,8.25,481.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0176,EVT-2026S1-B016,EQ-M2X-016,2026-06-08T22:30:00Z,2026-06-09T04:58:00Z,calibration,follow_up_required,388,8.62,513.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0177,EVT-2026S1-B017,EQ-M2X-017,2026-06-09T03:30:00Z,2026-06-09T10:21:00Z,preventive,resolved,411,8.99,544.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0178,EVT-2026S1-B018,EQ-M2X-018,2026-06-09T08:30:00Z,2026-06-09T15:44:00Z,corrective,monitoring,434,9.36,576.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0179,EVT-2026S1-B019,EQ-M2X-019,2026-06-09T13:30:00Z,2026-06-09T14:17:00Z,inspection,parts_ordered,47,9.73,608.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0180,EVT-2026S1-B020,EQ-M2X-020,2026-06-09T18:30:00Z,2026-06-09T19:40:00Z,calibration,follow_up_required,70,0.6,640.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0181,EVT-2026S1-B021,EQ-M2X-021,2026-06-09T23:30:00Z,2026-06-10T01:03:00Z,preventive,resolved,93,0.97,671.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0182,EVT-2026S1-B022,EQ-M2X-022,2026-06-10T04:30:00Z,2026-06-10T06:26:00Z,corrective,monitoring,116,1.34,703.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0183,EVT-2026S1-B023,EQ-M2X-023,2026-06-10T09:30:00Z,2026-06-10T11:49:00Z,inspection,parts_ordered,139,1.71,735.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0184,EVT-2026S1-B024,EQ-M2X-024,2026-06-10T14:30:00Z,2026-06-10T17:12:00Z,calibration,follow_up_required,162,2.08,767.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0185,EVT-2026S1-B025,EQ-M2X-001,2026-06-10T19:30:00Z,2026-06-10T22:35:00Z,preventive,resolved,185,2.45,798.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0186,EVT-2026S1-B026,EQ-M2X-002,2026-06-11T00:30:00Z,2026-06-11T03:58:00Z,corrective,monitoring,208,2.82,830.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0187,EVT-2026S1-B027,EQ-M2X-003,2026-06-11T05:30:00Z,2026-06-11T09:21:00Z,inspection,parts_ordered,231,3.19,862.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0188,EVT-2026S1-B028,EQ-M2X-004,2026-06-11T10:30:00Z,2026-06-11T14:44:00Z,calibration,follow_up_required,254,3.56,44.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0189,EVT-2026S1-B029,EQ-M2X-005,2026-06-11T15:30:00Z,2026-06-11T20:07:00Z,preventive,resolved,277,3.93,75.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0190,EVT-2026S1-B030,EQ-M2X-006,2026-06-11T20:30:00Z,2026-06-12T01:30:00Z,corrective,monitoring,300,4.3,107.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0191,EVT-2026S1-B031,EQ-M2X-007,2026-06-12T01:30:00Z,2026-06-12T06:53:00Z,inspection,parts_ordered,323,4.67,139.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0192,EVT-2026S1-B032,EQ-M2X-008,2026-06-12T06:30:00Z,2026-06-12T12:16:00Z,calibration,follow_up_required,346,5.04,171.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0193,EVT-2026S1-B033,EQ-M2X-009,2026-06-12T11:30:00Z,2026-06-12T17:39:00Z,preventive,resolved,369,5.41,202.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0194,EVT-2026S1-B034,EQ-M2X-010,2026-06-12T16:30:00Z,2026-06-12T23:02:00Z,corrective,monitoring,392,5.78,234.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0195,EVT-2026S1-B035,EQ-M2X-011,2026-06-12T21:30:00Z,2026-06-13T04:25:00Z,inspection,parts_ordered,415,6.15,266.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0196,EVT-2026S1-B036,EQ-M2X-012,2026-06-13T02:30:00Z,2026-06-13T09:48:00Z,calibration,follow_up_required,438,6.52,298.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0197,EVT-2026S1-B037,EQ-M2X-013,2026-06-13T07:30:00Z,2026-06-13T08:21:00Z,preventive,resolved,51,6.89,329.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0198,EVT-2026S1-B038,EQ-M2X-014,2026-06-13T12:30:00Z,2026-06-13T13:44:00Z,corrective,monitoring,74,7.26,361.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0199,EVT-2026S1-B039,EQ-M2X-015,2026-06-13T17:30:00Z,2026-06-13T19:07:00Z,inspection,parts_ordered,97,7.63,393.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0200,EVT-2026S1-B040,EQ-M2X-016,2026-06-13T22:30:00Z,2026-06-14T00:30:00Z,calibration,follow_up_required,120,8.0,425.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0201,EVT-2026S1-B041,EQ-M2X-017,2026-06-14T03:30:00Z,2026-06-14T05:53:00Z,preventive,resolved,143,8.37,456.75,1,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0202,EVT-2026S1-B042,EQ-M2X-018,2026-06-14T08:30:00Z,2026-06-14T11:16:00Z,corrective,monitoring,166,8.74,488.5,2,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0203,EVT-2026S1-B043,EQ-M2X-019,2026-06-14T13:30:00Z,2026-06-14T16:39:00Z,inspection,parts_ordered,189,9.11,520.25,3,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0204,EVT-2026S1-B044,EQ-M2X-020,2026-06-14T18:30:00Z,2026-06-14T22:02:00Z,calibration,follow_up_required,212,9.48,552.0,4,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0205,EVT-2026S1-B045,EQ-M2X-021,2026-06-14T23:30:00Z,2026-06-15T03:25:00Z,preventive,resolved,235,9.85,583.75,0,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0206,EVT-2026S1-B046,EQ-M2X-022,2026-06-15T04:30:00Z,2026-06-15T08:48:00Z,corrective,monitoring,258,0.72,615.5,1,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0207,EVT-2026S1-B047,EQ-M2X-023,2026-06-15T09:30:00Z,2026-06-15T14:11:00Z,inspection,parts_ordered,281,1.09,647.25,2,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0208,EVT-2026S1-B048,EQ-M2X-024,2026-06-15T14:30:00Z,2026-06-15T19:34:00Z,calibration,follow_up_required,304,1.46,679.0,3,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0209,EVT-2026S1-B049,EQ-M2X-001,2026-06-15T19:30:00Z,2026-06-16T00:57:00Z,preventive,resolved,327,1.83,710.75,4,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0210,EVT-2026S1-B050,EQ-M2X-002,2026-06-16T00:30:00Z,2026-06-16T06:20:00Z,corrective,monitoring,350,2.2,742.5,0,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0211,EVT-2026S1-B051,EQ-M2X-003,2026-06-16T05:30:00Z,2026-06-16T11:43:00Z,inspection,parts_ordered,373,2.57,774.25,1,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0212,EVT-2026S1-B052,EQ-M2X-004,2026-06-16T10:30:00Z,2026-06-16T17:06:00Z,calibration,follow_up_required,396,2.94,806.0,2,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0213,EVT-2026S1-B053,EQ-M2X-005,2026-06-16T15:30:00Z,2026-06-16T22:29:00Z,preventive,resolved,419,3.31,837.75,3,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0214,EVT-2026S1-B054,EQ-M2X-006,2026-06-16T20:30:00Z,2026-06-16T21:02:00Z,corrective,monitoring,32,3.68,869.5,4,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0215,EVT-2026S1-B055,EQ-M2X-007,2026-06-17T01:30:00Z,2026-06-17T02:25:00Z,inspection,parts_ordered,55,4.05,51.25,0,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0216,EVT-2026S1-B056,EQ-M2X-008,2026-06-17T06:30:00Z,2026-06-17T07:48:00Z,calibration,follow_up_required,78,4.42,83.0,1,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
MNT-2026S1-B0217,EVT-2026S1-B057,EQ-M2X-009,2026-06-17T11:30:00Z,2026-06-17T13:11:00Z,preventive,resolved,101,4.79,114.75,2,Contrôle visuel et essai fonctionnel réalisés.,2026-S1,gmao-v2
MNT-2026S1-B0218,EVT-2026S1-B058,EQ-M2X-010,2026-06-17T16:30:00Z,2026-06-17T18:34:00Z,corrective,monitoring,124,5.16,146.5,3,"Réglage effectué, surveillance demandée à la prochaine ronde.",2026-S1,gmao-v2
MNT-2026S1-B0219,EVT-2026S1-B059,EQ-M2X-011,2026-06-17T21:30:00Z,2026-06-17T23:57:00Z,inspection,parts_ordered,147,5.53,178.25,4,Pièce remplacée puis remise en service progressive.,2026-S1,gmao-v2
MNT-2026S1-B0220,EVT-2026S1-B060,EQ-M2X-012,2026-06-18T02:30:00Z,2026-06-18T05:20:00Z,calibration,follow_up_required,170,5.9,210.0,0,"Cause non confirmée, mesures complémentaires nécessaires.",2026-S1,gmao-v2
